Название;Описание;Важность
C01 Основание для проектирования;Указан утвержденный перечень ПИР или иное основание для разработки ТЗ | Категория: GENERAL | Ссылка: 13.1-13.7 | Приоритет: HIGH;3
C02 Соответствие области применения;ТЗ относится к инвестиционной деятельности и ПИР | Категория: GENERAL | Ссылка: 1.1-1.3 | Приоритет: HIGH;3
C06 Вид строительства;Указано: новое строительство/реконструкция/модернизация | Категория: STRUCTURE | Ссылка: 7.2 | Приоритет: MEDIUM;2
C07 Сроки выполнения проекта;Указан срок передачи документации или календарный план | Категория: STRUCTURE | Ссылка: Прил.3 п.9 | Приоритет: MEDIUM;2
C08 Технико-экономические показатели;Указаны основные характеристики объекта | Категория: CONTENT | Ссылка: Прил.3 п.5 | Приоритет: HIGH;3
C09 Требования к проектным решениям;Прописаны требования к оборудованию и технологиям | Категория: CONTENT | Ссылка: 13.6 | Приоритет: HIGH;3
C10 Отсутствие ограничения производителей;Не ограничивается выбор оборудования без оснований | Категория: CONTENT | Ссылка: 8.3.1 | Приоритет: HIGH;3
C11 Обоснование исключений;Есть протокол техсовета при ограничениях решений | Категория: CONTENT | Ссылка: 8.3.2 | Приоритет: MEDIUM;2
C12 Исходные данные для проектирования;Перечень исходных данных указан | Категория: CONTENT | Ссылка: 8.3.3 | Приоритет: HIGH;3
C13 Требования к этапности строительства;Этапы строительства указаны при необходимости | Категория: CONTENT | Ссылка: 13.9 | Приоритет: MEDIUM;2
C14 Инженерные изыскания;Определены виды и требования к изысканиям | Категория: ENGINEERING | Ссылка: Прил.3 п.8 | Приоритет: HIGH;3
C15 Требования к безопасности;Указаны требования промышленной и пожарной безопасности | Категория: ENGINEERING | Ссылка: 13.16-13.18 | Приоритет: HIGH;3
C16 Экологические требования;Прописаны меры по охране окружающей среды | Категория: ENGINEERING | Ссылка: Прил.3 п.5.16 | Приоритет: HIGH;3
C17 Энергетическая эффективность;Указаны требования к энергоэффективности | Категория: ENGINEERING | Ссылка: Прил.3 п.5.19 | Приоритет: MEDIUM;2
C19 Перечень согласующих подразделений;Указаны службы и подразделения согласования | Категория: COORDINATION | Ссылка: 8.6.3 | Приоритет: HIGH;3
C20 Дополнительные согласования;Указаны спец. согласования (ИТ, пожарная охрана и др.) | Категория: COORDINATION | Ссылка: 13.11-13.14 | Приоритет: HIGH;3
C21 Количество экземпляров;Указано количество экземпляров задания | Категория: DOCUMENT_FLOW | Ссылка: 8.5 | Приоритет: LOW;1
C24 Назначение ответственных лиц;Определены роли и ответственность | Категория: PROJECT_CONTROL | Ссылка: 10.2 | Приоритет: MEDIUM;2
C25 Соответствие НТД;ТЗ не противоречит законодательству и нормативам | Категория: COMPLIANCE | Ссылка: 13.7 | Приоритет: HIGH;3
C26 Требования к экспертизе;Предусмотрено прохождение экспертиз | Категория: COMPLIANCE | Ссылка: 11.13 | Приоритет: HIGH;3
C27 Состав проектной документации;Указан состав согласно ПП РФ №87 | Категория: COMPLIANCE | Ссылка: 10.5 | Приоритет: HIGH;3
C28 Требования к PDF-документам;Указаны требования к формату электронных документов | Категория: COMPLIANCE | Ссылка: Прил.3 п.8.7 | Приоритет: LOW;1
C29 Отсутствие избыточных решений;Нет лишних технических решений вне цели проекта | Категория: QUALITY | Ссылка: 11.8 | Приоритет: HIGH;3
C30 Опросные листы оборудования;Указано требование подготовки опросных листов | Категория: QUALITY | Ссылка: 13.20 | Приоритет: MEDIUM;2
C31 Технико-экономическое сравнение;Есть требования сравнения вариантов оборудования | Категория: QUALITY | Ссылка: 13.8 | Приоритет: MEDIUM;2
